code,name,state,lon,lat
520005,Abadia de Goiás,GO,-49.4412,-16.7573
310010,Abadia dos Dourados,MG,-47.4064,-18.4911
520010,Abadiânia,GO,-48.7068,-16.1947
150010,Abaetetuba,PA,-48.8788,-1.7218
310020,Abaeté,MG,-45.4481,-19.1567
230010,Abaiara,CE,-39.0344,-7.3508
290020,Abaré,BA,-39.114,-8.724
410010,Abatiá,PR,-50.3103,-23.3053
290010,Abaíra,BA,-41.664,-13.2503
420005,Abdon Batista,SC,-51.023,-27.6124
150013,Abel Figueiredo,PA,-48.3958,-4.953
420010,Abelardo Luz,SC,-52.3286,-26.5693
310030,Abre Campo,MG,-42.4391,-20.2726
260005,Abreu e Lima,PE,-34.8984,-7.9007
170025,Abreulândia,TO,-49.1558,-9.6222
310040,Acaiaca,MG,-43.1444,-20.3622
290030,Acajutiba,BA,-38.0189,-11.6608
230015,Acarape,CE,-38.7072,-4.2238
230020,Acaraú,CE,-40.1183,-2.8877
240010,Acari,RN,-36.6392,-6.437
150020,Acará,PA,-48.1987,-1.9614
220005,Acauã,PI,-41.0831,-8.2195
430003,Aceguá,RS,-54.1616,-31.8695
230030,Acopiara,CE,-39.4543,-6.0936
510010,Acorizal,MT,-56.3632,-15.194
120001,Acrelândia,AC,-67.0527,-10.0759
520013,Acreúna,GO,-50.3749,-17.396
350010,Adamantina,SP,-51.0763,-21.6867
520015,Adelândia,GO,-50.1666,-16.4155
350020,Adolfo,SP,-49.6442,-21.2357
410020,Adrianópolis,PR,-48.9913,-24.6558
290035,Adustina,BA,-38.1145,-10.5359
260010,Afogados da Ingazeira,PE,-37.6356,-7.7504
240030,Afonso Bezerra,RN,-36.5064,-5.5003
320010,Afonso Cláudio,ES,-41.1261,-20.0778
210010,Afonso Cunha,MA,-43.3275,-4.1363
260020,Afrânio,PE,-41.0067,-8.5166
150030,Afuá,PA,-50.7668,-0.3768
260030,Agrestina,PE,-35.9447,-8.4597
220010,Agricolândia,PI,-42.6664,-5.7968
420020,Agrolândia,SC,-49.8296,-27.4124
420030,Agronômica,SC,-49.7105,-27.2661
310080,Aguanil,MG,-45.3927,-20.9425
350030,Aguaí,SP,-46.9763,-22.0583
430010,Agudo,RS,-53.2494,-29.6423
350070,Agudos,SP,-48.9878,-22.4712
410030,Agudos do Sul,PR,-49.3328,-25.9891
250020,Aguiar,PB,-38.1727,-7.0928
170030,Aguiarnópolis,TO,-47.4721,-6.56
310110,Aimorés,MG,-41.0616,-19.4918
290060,Aiquara,BA,-39.8888,-14.1269
230040,Aiuaba,CE,-40.127,-6.5738
310120,Aiuruoca,MG,-44.6028,-21.9756
430020,Ajuricaba,RS,-53.7757,-28.2342
310130,Alagoa,MG,-44.64,-22.1697
250030,Alagoa Grande,PB,-35.6285,-7.0415
250040,Alagoa Nova,PB,-35.7601,-7.0589
250050,Alagoinha,PB,-36.7749,-8.4663
260060,Alagoinha,PE,-36.7749,-8.4663
220025,Alagoinha do Piauí,PI,-40.937,-7.0102
290070,Alagoinhas,BA,-38.4208,-12.1335
350075,Alambari,SP,-47.898,-23.5503
310140,Albertina,MG,-46.6156,-22.2006
250053,Alcantil,PB,-36.0511,-7.7367
500025,Alcinópolis,MS,-53.7094,-18.3264
290080,Alcobaça,BA,-39.1965,-17.5216
210020,Alcântara,MA,-44.4062,-2.3957
230050,Alcântaras,CE,-40.5479,-3.5854
210030,Aldeias Altas,MA,-43.4703,-4.6296
430030,Alecrim,RS,-54.7648,-27.6579
320020,Alegre,ES,-41.5307,-20.759
430040,Alegrete,RS,-55.7949,-29.7902
220027,Alegrete do Piauí,PI,-40.8566,-7.242
430045,Alegria,RS,-54.0557,-27.8345
150040,Alenquer,PA,-54.7384,-1.9462
240050,Alexandria,RN,-38.0118,-6.4136
520030,Alexânia,GO,-48.5078,-16.0834
310160,Alfenas,MG,-45.9446,-21.4439
320030,Alfredo Chaves,ES,-40.7484,-20.6357
350080,Alfredo Marcondes,SP,-51.414,-21.9527
310163,Alfredo Vasconcelos,MG,-43.7764,-21.1458
420070,Alfredo Wagner,SC,-49.3327,-27.6962
250057,Algodão de Jandaíra,PB,-36.0129,-6.8929
250060,Alhandra,PB,-34.9106,-7.4304
260070,Aliança,PE,-35.2227,-7.604
170035,Aliança do Tocantins,TO,-48.9409,-11.3056
290090,Almadina,BA,-39.6382,-14.7047
170040,Almas,TO,-47.1703,-11.5681
150050,Almeirim,PA,-52.5788,-1.529
310170,Almenara,MG,-40.6905,-16.1741
240060,Almino Afonso,RN,-37.7649,-6.1544
410040,Almirante Tamandaré,PR,-49.2996,-25.3135
430047,Almirante Tamandaré do Sul,RS,-52.9134,-28.1139
520050,Aloândia,GO,-49.4809,-17.7278
310180,Alpercata,MG,-41.9828,-18.9804
430050,Alpestre,RS,-53.035,-27.2512
310190,Alpinópolis,MG,-46.3878,-20.8636
510025,Alta Floresta,MT,-56.084,-9.8715
110001,Alta Floresta d`Oeste,RO,-56.084,-9.8715
350090,Altair,SP,-49.0571,-20.5242
150060,Altamira,PA,-52.21,-3.2041
210040,Altamira do Maranhão,MA,-45.4706,-4.166
410045,Altamira do Paraná,PR,-52.7129,-24.7991
230060,Altaneira,CE,-39.7375,-6.9966
310200,Alterosa,MG,-46.1431,-21.2492
260080,Altinho,PE,-36.0644,-8.4848
350100,Altinópolis,SP,-47.3712,-21.0214
